source,method,k,fingerprint,t,stage,event,certified_global_lb,validated_global_ub,provisional_local_lb,provisional_local_ub
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,all_stop,19,2c676ebed914bc157e1a2536b2dfcb991fdec94a4785d22345bb8b5b924c86b0,1.0576627920381725,complete,trial_completed,655714.9046240002,655714.9046240003,,
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,all_stop,20,a506babf6b460ec8d151b1009f49f3221e513d585dfb484aabc824cd1df4bb2d,0.13387066696304828,complete,trial_completed,0.0,,,
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,all_stop,21,5c0e8aed7b328aa685449c09df5dc9dffcfb4f9de3436d7e894ebbd2a55b89ec,0.13003866700455546,complete,trial_completed,0.0,,,
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,all_stop,22,143a9e12acb2f76f335ee76a3bee52f39843f6b6386507f5fdd514b90568981c,0.133781916112639,complete,trial_completed,0.0,,,
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,17,f9694d09f7911d9b2db20060046444e60f608c115b3788466285a28aba3f4d86,8.528165999916382,root_column_generation,cg_round_completed,102607.74527199985,710240.2547839999,710240.2547839999,710240.2547839999
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,17,f9694d09f7911d9b2db20060046444e60f608c115b3788466285a28aba3f4d86,16.363537708995864,root_column_generation,cg_round_completed,521845.4126160003,710240.2547839999,653843.9460960001,
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,17,f9694d09f7911d9b2db20060046444e60f608c115b3788466285a28aba3f4d86,24.296417791978456,root_column_generation,cg_round_completed,529427.1333200004,710240.2547839999,642235.2818344005,
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,17,f9694d09f7911d9b2db20060046444e60f608c115b3788466285a28aba3f4d86,32.7887439589249,root_column_generation,cg_round_completed,554174.4100831532,710240.2547839999,627350.9827639223,710240.2547839999
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,17,f9694d09f7911d9b2db20060046444e60f608c115b3788466285a28aba3f4d86,41.16741758398712,root_column_generation,cg_round_completed,554174.4100831532,710240.2547839999,621717.8506914448,
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,17,f9694d09f7911d9b2db20060046444e60f608c115b3788466285a28aba3f4d86,49.810829084017314,root_column_generation,cg_round_completed,554174.4100831532,710240.2547839999,616861.8098993448,
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,17,f9694d09f7911d9b2db20060046444e60f608c115b3788466285a28aba3f4d86,59.074794541927986,root_column_generation,cg_round_completed,554208.5569227434,710240.2547839999,612913.0517200087,710240.2547839999
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,17,f9694d09f7911d9b2db20060046444e60f608c115b3788466285a28aba3f4d86,68.56498791696504,root_column_generation,cg_round_completed,569375.2439394253,710240.2547839999,610973.1871024678,
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,17,f9694d09f7911d9b2db20060046444e60f608c115b3788466285a28aba3f4d86,78.25297149992548,root_column_generation,cg_round_completed,573533.5132399227,710240.2547839999,609964.2368051368,
benchmarks/output/ddd_fixed_k_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,17,f9694d09f7911d9b2db20060046444e60f608c115b3788466285a28aba3f4d86,88.90762970899232,root_column_generation,cg_round_completed,578985.711645258,651098.7008,609266.4638430743,651098.7008
