source,bytes,classification,records
benchmarks/output/combined_formulations_20260715/artifacts/20260715T110808Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/discrete_dt_0p5.json,1391543,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/artifacts/20260715T110808Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_build_artifact.json,25071075,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/artifacts/20260715T110808Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,329786,result_or_diagnostic,1
benchmarks/output/combined_formulations_20260715/artifacts/20260715T110808Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time_movement_plan.json,208540,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/artifacts/20260715T110808Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time_physical_replay.json,533065,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/artifacts/20260715T110808Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/scenario.json,14521,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/artifacts/20260715T111326Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine+slot_activation_first_slot/manifest.json,3266,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/artifacts/20260715T111326Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine+slot_activation_first_slot/three_station_v0/discrete_dt_0p5.json,1391543,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/artifacts/20260715T111326Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine+slot_activation_first_slot/three_station_v0/ean_build_artifact.json,25071075,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/artifacts/20260715T111326Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine+slot_activation_first_slot/three_station_v0/ean_passenger_service_journey_time.json,325544,result_or_diagnostic,1
benchmarks/output/combined_formulations_20260715/artifacts/20260715T111326Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine+slot_activation_first_slot/three_station_v0/ean_passenger_service_journey_time_movement_plan.json,208406,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/artifacts/20260715T111326Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine+slot_activation_first_slot/three_station_v0/ean_passenger_service_journey_time_physical_replay.json,533764,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/artifacts/20260715T111326Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine+slot_activation_first_slot/three_station_v0/scenario.json,14521,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/artifacts/20260715T112001Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation___6e51e5fc4e85/manifest.json,3266,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/artifacts/20260715T112001Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation___6e51e5fc4e85/three_station_v0/discrete_dt_0p5.json,1391543,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/artifacts/20260715T112001Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation___6e51e5fc4e85/three_station_v0/ean_build_artifact.json,25071075,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/artifacts/20260715T112001Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation___6e51e5fc4e85/three_station_v0/ean_passenger_service_journey_time.json,331641,result_or_diagnostic,1
benchmarks/output/combined_formulations_20260715/artifacts/20260715T112001Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation___6e51e5fc4e85/three_station_v0/ean_passenger_service_journey_time_movement_plan.json,208549,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/artifacts/20260715T112001Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation___6e51e5fc4e85/three_station_v0/ean_passenger_service_journey_time_physical_replay.json,535122,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/artifacts/20260715T112001Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation___6e51e5fc4e85/three_station_v0/scenario.json,14521,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/results/20260715T110808Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all.json,27800,result_or_diagnostic,1
benchmarks/output/combined_formulations_20260715/results/20260715T111326Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine+slot_activation_first_slot.json,24583,result_or_diagnostic,1
benchmarks/output/combined_formulations_20260715/results/20260715T112001Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation___6e51e5fc4e85.json,29866,result_or_diagnostic,1
benchmarks/output/combined_formulations_20260715/three_station_15min/artifacts/20260715T112539Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/manifest.json,3266,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/three_station_15min/artifacts/20260715T112539Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/discrete_dt_0p5.json,1391543,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/three_station_15min/artifacts/20260715T112539Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_build_artifact.json,25071075,support_or_manifest,0
benchmarks/output/combined_formulations_20260715/three_station_15min/artifacts/20260715T112539Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,349650,result_or_diagnostic,1
benchmarks/output/combined_formulations_20260715/three_station_15min/artifacts/20260715T112539Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time_movement_plan.json,208357,support_or_manifest,0
